<?[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4}>?	EMAIL	2
computer programmer	TITLE	MISC	2
computer-programmer	TITLE	MISC	2
computer scientist	TITLE	MISC	2
computer-scientist	TITLE	MISC	2
conductor -lrb-music-rrb-	TITLE	MISC	2
conductor lrb music rrb 	TITLE	MISC	2
conductor--lrb-music-rrb-	TITLE	MISC	2
conductor -lrb-transportation-rrb-	TITLE	MISC	2
conductor lrb transportation rrb 	TITLE	MISC	2
conductor--lrb-transportation-rrb-	TITLE	MISC	2
confectioner	TITLE	MISC	1
conferencier	TITLE	MISC	1
congressman	TITLE	MISC	1
congresswoman	TITLE	MISC	1
construction engineering	TITLE	MISC	2
construction-engineering	TITLE	MISC	2
construction foreman	TITLE	MISC	2
construction-foreman	TITLE	MISC	2
construction worker	TITLE	MISC	2
construction-worker	TITLE	MISC	2
consul	TITLE	MISC	1
consultant	TITLE	MISC	1
controller	TITLE	MISC	1
cosmetologist	TITLE	MISC	1
contractor , general	TITLE	MISC	3
contractor-,-general	TITLE	MISC	3
cook	TITLE	MISC	1
copywriter	TITLE	MISC	1
coroner	TITLE	MISC	1
corrections officer	TITLE	MISC	2
corrections-officer	TITLE	MISC	2
corrector	TITLE	MISC	1
correspondent	TITLE	MISC	1
cosmetologist	TITLE	MISC	1
cosmonaut	TITLE	MISC	1
costume designer	TITLE	MISC	2
costume-designer	TITLE	MISC	2
courier	TITLE	MISC	1
court jester	TITLE	MISC	2
court-jester	TITLE	MISC	2
cowboy	TITLE	MISC	1
crafter	TITLE	MISC	1
crammer	TITLE	MISC	1
cryptographer	TITLE	MISC	1
cryptozoologist	TITLE	MISC	1
curator	TITLE	MISC	1
currier	TITLE	MISC	1
custodian	TITLE	MISC	1
customer service representative	TITLE	MISC	3
customer-service-representative	TITLE	MISC	3
customs officer	TITLE	MISC	2
customs-officer	TITLE	MISC	2
cyclist	TITLE	MISC	1
dancer	TITLE	MISC	1
dealer	TITLE	MISC	1
delivery man	TITLE	MISC	2
delivery-man	TITLE	MISC	2
dental hygienist	TITLE	MISC	2
dental-hygienist	TITLE	MISC	2
dentist	TITLE	MISC	1
deputy -lrb-law enforcement-rrb-	TITLE	MISC	3
deputy lrb law enforcement rrb 	TITLE	MISC	3
deputy--lrb-law-enforcement-rrb-	TITLE	MISC	3
deputy	TITLE	MISC	1
dermatologist	TITLE	MISC	1
demolitionist	TITLE	MISC	1
designer	TITLE	MISC	1
detective	TITLE	MISC	1
dietician	TITLE	MISC	1
dictator	TITLE	MISC	1
diplomat	TITLE	MISC	1
disc jockey	TITLE	MISC	2
disc-jockey	TITLE	MISC	2
dispatcher	TITLE	MISC	1
diver	TITLE	MISC	1
dock labourer	TITLE	MISC	2
dock-labourer	TITLE	MISC	2
doctor	TITLE	MISC	1
documentalist	TITLE	MISC	1
dog walker	TITLE	MISC	2
dog-walker	TITLE	MISC	2
doorman	TITLE	MISC	1
dramatist	TITLE	MISC	1
dressmaker	TITLE	MISC	1
dressman	TITLE	MISC	1
driver	TITLE	MISC	1
drug dealer	TITLE	MISC	2
drug-dealer	TITLE	MISC	2
drummer	TITLE	MISC	1
dj	TITLE	MISC	1
ecologist	TITLE	MISC	1
editor	TITLE	MISC	1
educationalist	TITLE	MISC	1
electrical engineer	TITLE	MISC	2
electrical-engineer	TITLE	MISC	2
electrician	TITLE	MISC	1
escort	TITLE	MISC	1
embalmer	TITLE	MISC	1
engine-driver	TITLE	MISC	1
engine driver	TITLE	MISC	1
engine fitter	TITLE	MISC	2
engine-fitter	TITLE	MISC	2
engineer	TITLE	MISC	1
entertainer	TITLE	MISC	1
entrepreneur	TITLE	MISC	1
environmental scientist	TITLE	MISC	2
environmental-scientist	TITLE	MISC	2
estate agent	TITLE	MISC	2
estate-agent	TITLE	MISC	2
ethnologist	TITLE	MISC	1
ethologist	TITLE	MISC	1
etymologist	TITLE	MISC	1
evangelist	TITLE	MISC	1
examiner	TITLE	MISC	1
executive	TITLE	MISC	1
executor	TITLE	MISC	1
exotic dancer	TITLE	MISC	2
exotic-dancer	TITLE	MISC	2
